Year,Geography,Code,Name,Mean disposable household income
2002,wijken,AA,Haarlemmerbuurt,26600
2002,wijken,AB,Jordaan,25100
2002,wijken,AC,Grachtengordel-West,36500
2002,wijken,AD,Burgwallen-Nieuwe Zijde,27400
2002,wijken,AE,Burgwallen-Oude Zijde,22300
2002,wijken,AF,Nieuwmarkt/Lastage,27700
2002,wijken,AG,Grachtengordel-Zuid,39000
2002,wijken,AH,De Weteringschans,32100
2002,wijken,AJ,Weesperbuurt/Plantage,26700
2002,wijken,AK,Oostelijke Eilanden/Kadijken,23900
2002,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,21600
2002,wijken,EC,Houthavens,30600
2002,wijken,ED,De Kolenkit,22800
2002,wijken,EE,Landlust,22200
2002,wijken,EF,Erasmuspark,23600
2002,wijken,EG,Centrale Markt,26500
2002,wijken,EH,Staatsliedenbuurt,22300
2002,wijken,EJ,Frederik Hendrikbuurt,21200
2002,wijken,EK,Van Galenbuurt,21500
2002,wijken,EL,Geuzenbuurt,24500
2002,wijken,EM,Hoofdweg e.o.,21600
2002,wijken,EN,Chassébuurt,24500
2002,wijken,EP,Bellamybuurt,22500
2002,wijken,EQ,Da Costabuurt,23700
2002,wijken,ER,Westindische Buurt,25900
2002,wijken,ES,Van Lennepbuurt,21500
2002,wijken,ET,Overtoomse Sluis,25700
2002,wijken,EU,Helmersbuurt,25900
2002,wijken,EV,Vondelparkbuurt,36000
2002,wijken,FD,Slotermeer-Noordoost,23400
2002,wijken,FF,Lutkemeer/Ookmeer,31200
2002,wijken,FG,De Aker,35300
2002,wijken,FH,De Punt,24800
2002,wijken,FJ,Osdorp-Midden,23700
2002,wijken,FK,Osdorp-Oost,24900
2002,wijken,FL,Slotervaart-Noord,26200
2002,wijken,FM,Overtoomse Veld,26600
2002,wijken,FN,Slotervaart-Zuid,26200
2002,wijken,FP,Westlandgracht,27200
2002,wijken,FQ,Sloten/Nieuw-Sloten,37900
2002,wijken,KA,Hoofddorppleinbuurt,27200
2002,wijken,KB,Schinkelbuurt,25000
2002,wijken,KC,Willemspark,40700
2002,wijken,KD,Museumkwartier,40800
2002,wijken,KE,Oude Pijp,23100
2002,wijken,KF,Nieuwe Pijp,23600
2002,wijken,KG,Zuid Pijp,22300
2002,wijken,KH,Stadionbuurt,24200
2002,wijken,KJ,Apollobuurt,50000
2002,wijken,KK,Scheldebuurt,31300
2002,wijken,KL,IJselbuurt,25000
2002,wijken,KM,Rijnbuurt,25500
2002,wijken,KN,Prinses Irenebuurt e.o.,45400
2002,wijken,KQ,Buitenveldert-West,31200
2002,wijken,KR,Buitenveldert-Oost,32700
2002,wijken,MA,Oostelijk Havengebied,34900
2002,wijken,MB,Weesperzijde,25800
2002,wijken,MC,Oosterparkbuurt,23300
2002,wijken,MD,Transvaalbuurt,23000
2002,wijken,ME,Dapperbuurt,21900
2002,wijken,MF,Indische Buurt-West,20500
2002,wijken,MG,Indische Buurt-Oost,22100
2002,wijken,MH,Zeeburgereiland/Bovendiep,26800
2002,wijken,MM,Frankendael,25100
2002,wijken,MN,Middenmeer,33000
2002,wijken,MP,Betondorp,21200
2002,wijken,MQ,Omval/Overamstel,40300
2002,wijken,NB,Noordelijke IJ-oevers-West,26800
2002,wijken,NC,Tuindorp Oostzaan,23100
2002,wijken,ND,Kadoelen,31100
2002,wijken,NE,Banne Buiksloot,25200
2002,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,38700
2002,wijken,NH,Buikslotermeer,26100
2002,wijken,NJ,Waterlandpleinbuurt,25600
2002,wijken,NK,Volewijck,23200
2002,wijken,NL,IJplein/Vogelbuurt,22000
2002,wijken,NM,Tuindorp Buiksloot,25300
2002,wijken,NN,Tuindorp Nieuwendam,24000
2002,wijken,NP,Noordelijke IJ-oevers-Oost,30200
2002,wijken,NQ,Waterland,32900
2002,wijken,SA,Driemond,34000
2002,wijken,TK,Nellestein,30500
2002,wijken,TM,Gein,29500
2005,wijken,AA,Haarlemmerbuurt,27000
2005,wijken,AB,Jordaan,25700
2005,wijken,AC,Grachtengordel-West,35000
2005,wijken,AD,Burgwallen-Nieuwe Zijde,25200
2005,wijken,AE,Burgwallen-Oude Zijde,25400
2005,wijken,AF,Nieuwmarkt/Lastage,27300
2005,wijken,AG,Grachtengordel-Zuid,47100
2005,wijken,AH,De Weteringschans,31500
2005,wijken,AJ,Weesperbuurt/Plantage,30000
2005,wijken,AK,Oostelijke Eilanden/Kadijken,24500
2005,wijken,EA,Sloterdijk-West,
2005,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,20200
2005,wijken,EC,Houthavens,32200
2005,wijken,ED,De Kolenkit,20600
2005,wijken,EE,Landlust,21100
2005,wijken,EF,Erasmuspark,23200
2005,wijken,EG,Centrale Markt,27500
2005,wijken,EH,Staatsliedenbuurt,21900
2005,wijken,EJ,Frederik Hendrikbuurt,22300
2005,wijken,EK,Van Galenbuurt,19900
2005,wijken,EL,Geuzenbuurt,23400
2005,wijken,EM,Hoofdweg e.o.,21400
2005,wijken,EN,Chassébuurt,22700
2005,wijken,EP,Bellamybuurt,21000
2005,wijken,EQ,Da Costabuurt,23300
2005,wijken,ER,Westindische Buurt,24800
2005,wijken,ES,Van Lennepbuurt,21300
2005,wijken,ET,Overtoomse Sluis,25400
2005,wijken,EU,Helmersbuurt,28600
2005,wijken,EV,Vondelparkbuurt,42600
2005,wijken,FA,Sloterdijk Nieuw-West,
2005,wijken,FB,Geuzenveld,
2005,wijken,FC,Slotermeer-West,
2005,wijken,FD,Slotermeer-Noordoost,22000
2005,wijken,FE,Slotermeer-Zuidoost,
2005,wijken,FF,Lutkemeer/Ookmeer,
2005,wijken,FG,De Aker,34900
2005,wijken,FH,De Punt,23300
2005,wijken,FJ,Osdorp-Midden,21900
2005,wijken,FK,Osdorp-Oost,23700
2005,wijken,FL,Slotervaart-Noord,27200
2005,wijken,FM,Overtoomse Veld,25300
2005,wijken,FN,Slotervaart-Zuid,23200
2005,wijken,FP,Westlandgracht,26500
2005,wijken,FQ,Sloten/Nieuw-Sloten,36100
2005,wijken,KA,Hoofddorppleinbuurt,27300
2005,wijken,KB,Schinkelbuurt,26600
2005,wijken,KC,Willemspark,46300
2005,wijken,KD,Museumkwartier,43100
2005,wijken,KE,Oude Pijp,24300
2005,wijken,KF,Nieuwe Pijp,23400
2005,wijken,KG,Zuid Pijp,21600
2005,wijken,KH,Stadionbuurt,25600
2005,wijken,KJ,Apollobuurt,56100
2005,wijken,KK,Scheldebuurt,31400
2005,wijken,KL,IJselbuurt,25700
2005,wijken,KM,Rijnbuurt,24700
2005,wijken,KN,Prinses Irenebuurt e.o.,49900
2005,wijken,KP,Zuidas,
2005,wijken,KQ,Buitenveldert-West,30400
2005,wijken,KR,Buitenveldert-Oost,33100
2005,wijken,MA,Oostelijk Havengebied,35300
2005,wijken,MB,Weesperzijde,25800
2005,wijken,MC,Oosterparkbuurt,22400
2005,wijken,MD,Transvaalbuurt,22400
2005,wijken,ME,Dapperbuurt,21000
2005,wijken,MF,Indische Buurt-West,20400
2005,wijken,MG,Indische Buurt-Oost,20700
2005,wijken,MH,Zeeburgereiland/Bovendiep,
2005,wijken,MJ,IJburg-West,37100
2005,wijken,MK,IJburg-Oost,
2005,wijken,ML,IJburg-Zuid,
2005,wijken,MM,Frankendael,24800
2005,wijken,MN,Middenmeer,33500
2005,wijken,MP,Betondorp,19500
2005,wijken,MQ,Omval/Overamstel,45100
2005,wijken,NB,Noordelijke IJ-oevers-West,
2005,wijken,NC,Tuindorp Oostzaan,22400
2005,wijken,ND,Kadoelen,31400
2005,wijken,NE,Banne Buiksloot,22700
2005,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,39300
2005,wijken,NG,Elzenhagen,35200
2005,wijken,NH,Buikslotermeer,23800
2005,wijken,NJ,Waterlandpleinbuurt,23800
2005,wijken,NK,Volewijck,20300
2005,wijken,NL,IJplein/Vogelbuurt,20700
2005,wijken,NM,Tuindorp Buiksloot,23400
2005,wijken,NN,Tuindorp Nieuwendam,22700
2005,wijken,NP,Noordelijke IJ-oevers-Oost,
2005,wijken,NQ,Waterland,38700
2005,wijken,SA,Driemond,33200
2005,wijken,TA,Amstel III/Bullewijk,
2005,wijken,TB,Venserpolder,
2005,wijken,TC,Amsterdamse Poort e.o.,
2005,wijken,TD,H-buurt,
2005,wijken,TE,Ganzenhoef e.o.,
2005,wijken,TF,Geerdinkhof/Kantershof,
2005,wijken,TG,Bijlmermuseum,
2005,wijken,TH,K-buurt,
2005,wijken,TJ,Holendrecht,
2005,wijken,TK,Nellestein,27200
2005,wijken,TL,Reigersbos,
2005,wijken,TM,Gein,26800
2006,wijken,AA,Haarlemmerbuurt,28600
2006,wijken,AB,Jordaan,26900
2006,wijken,AC,Grachtengordel-West,35800
2006,wijken,AD,Burgwallen-Nieuwe Zijde,27000
2006,wijken,AE,Burgwallen-Oude Zijde,24900
2006,wijken,AF,Nieuwmarkt/Lastage,29200
2006,wijken,AG,Grachtengordel-Zuid,44400
2006,wijken,AH,De Weteringschans,33400
2006,wijken,AJ,Weesperbuurt/Plantage,32400
2006,wijken,AK,Oostelijke Eilanden/Kadijken,25800
2006,wijken,EA,Sloterdijk-West,
2006,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,21300
2006,wijken,EC,Houthavens,32000
2006,wijken,ED,De Kolenkit,21800
2006,wijken,EE,Landlust,22900
2006,wijken,EF,Erasmuspark,24100
2006,wijken,EG,Centrale Markt,28900
2006,wijken,EH,Staatsliedenbuurt,23300
2006,wijken,EJ,Frederik Hendrikbuurt,23900
2006,wijken,EK,Van Galenbuurt,21400
2006,wijken,EL,Geuzenbuurt,25000
2006,wijken,EM,Hoofdweg e.o.,22400
2006,wijken,EN,Chassébuurt,23900
2006,wijken,EP,Bellamybuurt,22800
2006,wijken,EQ,Da Costabuurt,25500
2006,wijken,ER,Westindische Buurt,26200
2006,wijken,ES,Van Lennepbuurt,22200
2006,wijken,ET,Overtoomse Sluis,27300
2006,wijken,EU,Helmersbuurt,29900
2006,wijken,EV,Vondelparkbuurt,46900
2006,wijken,FA,Sloterdijk Nieuw-West,
2006,wijken,FB,Geuzenveld,
2006,wijken,FC,Slotermeer-West,
2006,wijken,FD,Slotermeer-Noordoost,23500
2006,wijken,FE,Slotermeer-Zuidoost,
2006,wijken,FF,Lutkemeer/Ookmeer,
2006,wijken,FG,De Aker,36600
2006,wijken,FH,De Punt,24800
2006,wijken,FJ,Osdorp-Midden,23400
2006,wijken,FK,Osdorp-Oost,24900
2006,wijken,FL,Slotervaart-Noord,28600
2006,wijken,FM,Overtoomse Veld,26300
2006,wijken,FN,Slotervaart-Zuid,24600
2006,wijken,FP,Westlandgracht,29100
2006,wijken,FQ,Sloten/Nieuw-Sloten,38200
2006,wijken,KA,Hoofddorppleinbuurt,28300
2006,wijken,KB,Schinkelbuurt,27400
2006,wijken,KC,Willemspark,49200
2006,wijken,KD,Museumkwartier,47200
2006,wijken,KE,Oude Pijp,25800
2006,wijken,KF,Nieuwe Pijp,25200
2006,wijken,KG,Zuid Pijp,23400
2006,wijken,KH,Stadionbuurt,27000
2006,wijken,KJ,Apollobuurt,56200
2006,wijken,KK,Scheldebuurt,32500
2006,wijken,KL,IJselbuurt,25600
2006,wijken,KM,Rijnbuurt,25700
2006,wijken,KN,Prinses Irenebuurt e.o.,49400
2006,wijken,KP,Zuidas,
2006,wijken,KQ,Buitenveldert-West,31900
2006,wijken,KR,Buitenveldert-Oost,32100
2006,wijken,MA,Oostelijk Havengebied,37300
2006,wijken,MB,Weesperzijde,28500
2006,wijken,MC,Oosterparkbuurt,23500
2006,wijken,MD,Transvaalbuurt,23000
2006,wijken,ME,Dapperbuurt,22800
2006,wijken,MF,Indische Buurt-West,21700
2006,wijken,MG,Indische Buurt-Oost,21900
2006,wijken,MH,Zeeburgereiland/Bovendiep,
2006,wijken,MJ,IJburg-West,37400
2006,wijken,MK,IJburg-Oost,
2006,wijken,ML,IJburg-Zuid,
2006,wijken,MM,Frankendael,26000
2006,wijken,MN,Middenmeer,35500
2006,wijken,MP,Betondorp,20200
2006,wijken,MQ,Omval/Overamstel,55800
2006,wijken,NB,Noordelijke IJ-oevers-West,
2006,wijken,NC,Tuindorp Oostzaan,23700
2006,wijken,ND,Kadoelen,32600
2006,wijken,NE,Banne Buiksloot,24700
2006,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,42200
2006,wijken,NG,Elzenhagen,36900
2006,wijken,NH,Buikslotermeer,24600
2006,wijken,NJ,Waterlandpleinbuurt,25000
2006,wijken,NK,Volewijck,21200
2006,wijken,NL,IJplein/Vogelbuurt,21500
2006,wijken,NM,Tuindorp Buiksloot,23800
2006,wijken,NN,Tuindorp Nieuwendam,23400
2006,wijken,NP,Noordelijke IJ-oevers-Oost,
2006,wijken,NQ,Waterland,43800
2006,wijken,SA,Driemond,35300
2006,wijken,TA,Amstel III/Bullewijk,
2006,wijken,TB,Venserpolder,
2006,wijken,TC,Amsterdamse Poort e.o.,
2006,wijken,TD,H-buurt,
2006,wijken,TE,Ganzenhoef e.o.,
2006,wijken,TF,Geerdinkhof/Kantershof,
2006,wijken,TG,Bijlmermuseum,
2006,wijken,TH,K-buurt,
2006,wijken,TJ,Holendrecht,
2006,wijken,TK,Nellestein,28000
2006,wijken,TL,Reigersbos,
2006,wijken,TM,Gein,28000
2007,wijken,AA,Haarlemmerbuurt,31900
2007,wijken,AB,Jordaan,29300
2007,wijken,AC,Grachtengordel-West,42400
2007,wijken,AD,Burgwallen-Nieuwe Zijde,26200
2007,wijken,AE,Burgwallen-Oude Zijde,29100
2007,wijken,AF,Nieuwmarkt/Lastage,31600
2007,wijken,AG,Grachtengordel-Zuid,49200
2007,wijken,AH,De Weteringschans,37800
2007,wijken,AJ,Weesperbuurt/Plantage,35900
2007,wijken,AK,Oostelijke Eilanden/Kadijken,28100
2007,wijken,EA,Sloterdijk-West,
2007,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,23100
2007,wijken,EC,Houthavens,37600
2007,wijken,ED,De Kolenkit,22800
2007,wijken,EE,Landlust,24300
2007,wijken,EF,Erasmuspark,25500
2007,wijken,EG,Centrale Markt,31600
2007,wijken,EH,Staatsliedenbuurt,24900
2007,wijken,EJ,Frederik Hendrikbuurt,25900
2007,wijken,EK,Van Galenbuurt,22800
2007,wijken,EL,Geuzenbuurt,26400
2007,wijken,EM,Hoofdweg e.o.,23900
2007,wijken,EN,Chassébuurt,25100
2007,wijken,EP,Bellamybuurt,24300
2007,wijken,EQ,Da Costabuurt,27500
2007,wijken,ER,Westindische Buurt,27800
2007,wijken,ES,Van Lennepbuurt,23800
2007,wijken,ET,Overtoomse Sluis,29100
2007,wijken,EU,Helmersbuurt,32800
2007,wijken,EV,Vondelparkbuurt,54500
2007,wijken,FA,Sloterdijk Nieuw-West,
2007,wijken,FB,Geuzenveld,
2007,wijken,FC,Slotermeer-West,
2007,wijken,FD,Slotermeer-Noordoost,24700
2007,wijken,FE,Slotermeer-Zuidoost,
2007,wijken,FF,Lutkemeer/Ookmeer,
2007,wijken,FG,De Aker,38100
2007,wijken,FH,De Punt,25700
2007,wijken,FJ,Osdorp-Midden,24700
2007,wijken,FK,Osdorp-Oost,26500
2007,wijken,FL,Slotervaart-Noord,30100
2007,wijken,FM,Overtoomse Veld,26800
2007,wijken,FN,Slotervaart-Zuid,25600
2007,wijken,FP,Westlandgracht,30500
2007,wijken,FQ,Sloten/Nieuw-Sloten,40000
2007,wijken,KA,Hoofddorppleinbuurt,31100
2007,wijken,KB,Schinkelbuurt,30100
2007,wijken,KC,Willemspark,55800
2007,wijken,KD,Museumkwartier,53700
2007,wijken,KE,Oude Pijp,28200
2007,wijken,KF,Nieuwe Pijp,26400
2007,wijken,KG,Zuid Pijp,25100
2007,wijken,KH,Stadionbuurt,29300
2007,wijken,KJ,Apollobuurt,66800
2007,wijken,KK,Scheldebuurt,34600
2007,wijken,KL,IJselbuurt,27400
2007,wijken,KM,Rijnbuurt,26700
2007,wijken,KN,Prinses Irenebuurt e.o.,52300
2007,wijken,KP,Zuidas,
2007,wijken,KQ,Buitenveldert-West,34900
2007,wijken,KR,Buitenveldert-Oost,33000
2007,wijken,MA,Oostelijk Havengebied,40400
2007,wijken,MB,Weesperzijde,32500
2007,wijken,MC,Oosterparkbuurt,24800
2007,wijken,MD,Transvaalbuurt,24200
2007,wijken,ME,Dapperbuurt,24000
2007,wijken,MF,Indische Buurt-West,22900
2007,wijken,MG,Indische Buurt-Oost,23200
2007,wijken,MH,Zeeburgereiland/Bovendiep,
2007,wijken,MJ,IJburg-West,42500
2007,wijken,MK,IJburg-Oost,
2007,wijken,ML,IJburg-Zuid,
2007,wijken,MM,Frankendael,27500
2007,wijken,MN,Middenmeer,39100
2007,wijken,MP,Betondorp,21500
2007,wijken,MQ,Omval/Overamstel,44300
2007,wijken,NB,Noordelijke IJ-oevers-West,
2007,wijken,NC,Tuindorp Oostzaan,25300
2007,wijken,ND,Kadoelen,33800
2007,wijken,NE,Banne Buiksloot,25500
2007,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,46600
2007,wijken,NG,Elzenhagen,41000
2007,wijken,NH,Buikslotermeer,25900
2007,wijken,NJ,Waterlandpleinbuurt,26300
2007,wijken,NK,Volewijck,22200
2007,wijken,NL,IJplein/Vogelbuurt,22900
2007,wijken,NM,Tuindorp Buiksloot,24400
2007,wijken,NN,Tuindorp Nieuwendam,25400
2007,wijken,NP,Noordelijke IJ-oevers-Oost,
2007,wijken,NQ,Waterland,47100
2007,wijken,SA,Driemond,36800
2007,wijken,TA,Amstel III/Bullewijk,
2007,wijken,TB,Venserpolder,
2007,wijken,TC,Amsterdamse Poort e.o.,
2007,wijken,TD,H-buurt,
2007,wijken,TE,Ganzenhoef e.o.,
2007,wijken,TF,Geerdinkhof/Kantershof,
2007,wijken,TG,Bijlmermuseum,
2007,wijken,TH,K-buurt,
2007,wijken,TJ,Holendrecht,
2007,wijken,TK,Nellestein,29100
2007,wijken,TL,Reigersbos,
2007,wijken,TM,Gein,29600
2008,wijken,AA,Haarlemmerbuurt,32400
2008,wijken,AB,Jordaan,29900
2008,wijken,AC,Grachtengordel-West,48500
2008,wijken,AD,Burgwallen-Nieuwe Zijde,28200
2008,wijken,AE,Burgwallen-Oude Zijde,29500
2008,wijken,AF,Nieuwmarkt/Lastage,34000
2008,wijken,AG,Grachtengordel-Zuid,49000
2008,wijken,AH,De Weteringschans,37700
2008,wijken,AJ,Weesperbuurt/Plantage,36300
2008,wijken,AK,Oostelijke Eilanden/Kadijken,29000
2008,wijken,EA,Sloterdijk-West,
2008,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,24100
2008,wijken,EC,Houthavens,33500
2008,wijken,ED,De Kolenkit,24600
2008,wijken,EE,Landlust,25200
2008,wijken,EF,Erasmuspark,27100
2008,wijken,EG,Centrale Markt,33600
2008,wijken,EH,Staatsliedenbuurt,26100
2008,wijken,EJ,Frederik Hendrikbuurt,26500
2008,wijken,EK,Van Galenbuurt,23400
2008,wijken,EL,Geuzenbuurt,27400
2008,wijken,EM,Hoofdweg e.o.,25000
2008,wijken,EN,Chassébuurt,27500
2008,wijken,EP,Bellamybuurt,25000
2008,wijken,EQ,Da Costabuurt,29300
2008,wijken,ER,Westindische Buurt,30000
2008,wijken,ES,Van Lennepbuurt,25000
2008,wijken,ET,Overtoomse Sluis,30200
2008,wijken,EU,Helmersbuurt,33000
2008,wijken,EV,Vondelparkbuurt,61200
2008,wijken,FA,Sloterdijk Nieuw-West,11500
2008,wijken,FB,Geuzenveld,
2008,wijken,FC,Slotermeer-West,
2008,wijken,FD,Slotermeer-Noordoost,26100
2008,wijken,FE,Slotermeer-Zuidoost,
2008,wijken,FF,Lutkemeer/Ookmeer,35100
2008,wijken,FG,De Aker,39100
2008,wijken,FH,De Punt,27000
2008,wijken,FJ,Osdorp-Midden,26500
2008,wijken,FK,Osdorp-Oost,27600
2008,wijken,FL,Slotervaart-Noord,30600
2008,wijken,FM,Overtoomse Veld,28300
2008,wijken,FN,Slotervaart-Zuid,26800
2008,wijken,FP,Westlandgracht,30500
2008,wijken,FQ,Sloten/Nieuw-Sloten,40800
2008,wijken,KA,Hoofddorppleinbuurt,31900
2008,wijken,KB,Schinkelbuurt,30000
2008,wijken,KC,Willemspark,57000
2008,wijken,KD,Museumkwartier,52200
2008,wijken,KE,Oude Pijp,29100
2008,wijken,KF,Nieuwe Pijp,27600
2008,wijken,KG,Zuid Pijp,25300
2008,wijken,KH,Stadionbuurt,27000
2008,wijken,KJ,Apollobuurt,67100
2008,wijken,KK,Scheldebuurt,36600
2008,wijken,KL,IJselbuurt,28300
2008,wijken,KM,Rijnbuurt,28100
2008,wijken,KN,Prinses Irenebuurt e.o.,58500
2008,wijken,KP,Zuidas,
2008,wijken,KQ,Buitenveldert-West,35700
2008,wijken,KR,Buitenveldert-Oost,35000
2008,wijken,MA,Oostelijk Havengebied,42500
2008,wijken,MB,Weesperzijde,34100
2008,wijken,MC,Oosterparkbuurt,25800
2008,wijken,MD,Transvaalbuurt,25200
2008,wijken,ME,Dapperbuurt,25800
2008,wijken,MF,Indische Buurt-West,23500
2008,wijken,MG,Indische Buurt-Oost,24400
2008,wijken,MH,Zeeburgereiland/Bovendiep,32600
2008,wijken,MJ,IJburg-West,42600
2008,wijken,MK,IJburg-Oost,
2008,wijken,ML,IJburg-Zuid,34300
2008,wijken,MM,Frankendael,28200
2008,wijken,MN,Middenmeer,40500
2008,wijken,MP,Betondorp,22300
2008,wijken,MQ,Omval/Overamstel,44800
2008,wijken,NB,Noordelijke IJ-oevers-West,25100
2008,wijken,NC,Tuindorp Oostzaan,26300
2008,wijken,ND,Kadoelen,35500
2008,wijken,NE,Banne Buiksloot,26400
2008,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,45100
2008,wijken,NG,Elzenhagen,43600
2008,wijken,NH,Buikslotermeer,26500
2008,wijken,NJ,Waterlandpleinbuurt,26800
2008,wijken,NK,Volewijck,23000
2008,wijken,NL,IJplein/Vogelbuurt,23300
2008,wijken,NM,Tuindorp Buiksloot,25000
2008,wijken,NN,Tuindorp Nieuwendam,25800
2008,wijken,NP,Noordelijke IJ-oevers-Oost,
2008,wijken,NQ,Waterland,47300
2008,wijken,SA,Driemond,36900
2008,wijken,TA,Amstel III/Bullewijk,26700
2008,wijken,TB,Venserpolder,
2008,wijken,TC,Amsterdamse Poort e.o.,
2008,wijken,TD,H-buurt,
2008,wijken,TE,Ganzenhoef e.o.,
2008,wijken,TF,Geerdinkhof/Kantershof,
2008,wijken,TG,Bijlmermuseum,
2008,wijken,TH,K-buurt,
2008,wijken,TJ,Holendrecht,
2008,wijken,TK,Nellestein,29700
2008,wijken,TL,Reigersbos,
2008,wijken,TM,Gein,30500
2009,wijken,AA,Haarlemmerbuurt,32400
2009,wijken,AB,Jordaan,30300
2009,wijken,AC,Grachtengordel-West,47600
2009,wijken,AD,Burgwallen-Nieuwe Zijde,24900
2009,wijken,AE,Burgwallen-Oude Zijde,28100
2009,wijken,AF,Nieuwmarkt/Lastage,33300
2009,wijken,AG,Grachtengordel-Zuid,47000
2009,wijken,AH,De Weteringschans,38500
2009,wijken,AJ,Weesperbuurt/Plantage,36400
2009,wijken,AK,Oostelijke Eilanden/Kadijken,29600
2009,wijken,EA,Sloterdijk-West,
2009,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,25300
2009,wijken,EC,Houthavens,31200
2009,wijken,ED,De Kolenkit,25000
2009,wijken,EE,Landlust,25300
2009,wijken,EF,Erasmuspark,27100
2009,wijken,EG,Centrale Markt,33300
2009,wijken,EH,Staatsliedenbuurt,26900
2009,wijken,EJ,Frederik Hendrikbuurt,26900
2009,wijken,EK,Van Galenbuurt,23500
2009,wijken,EL,Geuzenbuurt,28900
2009,wijken,EM,Hoofdweg e.o.,26000
2009,wijken,EN,Chassébuurt,28100
2009,wijken,EP,Bellamybuurt,25700
2009,wijken,EQ,Da Costabuurt,30600
2009,wijken,ER,Westindische Buurt,30100
2009,wijken,ES,Van Lennepbuurt,24900
2009,wijken,ET,Overtoomse Sluis,30000
2009,wijken,EU,Helmersbuurt,33400
2009,wijken,EV,Vondelparkbuurt,58200
2009,wijken,FA,Sloterdijk Nieuw-West,
2009,wijken,FB,Geuzenveld,
2009,wijken,FC,Slotermeer-West,
2009,wijken,FD,Slotermeer-Noordoost,26200
2009,wijken,FE,Slotermeer-Zuidoost,
2009,wijken,FF,Lutkemeer/Ookmeer,
2009,wijken,FG,De Aker,39100
2009,wijken,FH,De Punt,28000
2009,wijken,FJ,Osdorp-Midden,28500
2009,wijken,FK,Osdorp-Oost,27600
2009,wijken,FL,Slotervaart-Noord,31400
2009,wijken,FM,Overtoomse Veld,28800
2009,wijken,FN,Slotervaart-Zuid,27700
2009,wijken,FP,Westlandgracht,30800
2009,wijken,FQ,Sloten/Nieuw-Sloten,40900
2009,wijken,KA,Hoofddorppleinbuurt,32600
2009,wijken,KB,Schinkelbuurt,28200
2009,wijken,KC,Willemspark,53200
2009,wijken,KD,Museumkwartier,51200
2009,wijken,KE,Oude Pijp,29300
2009,wijken,KF,Nieuwe Pijp,27800
2009,wijken,KG,Zuid Pijp,25500
2009,wijken,KH,Stadionbuurt,27700
2009,wijken,KJ,Apollobuurt,58800
2009,wijken,KK,Scheldebuurt,37600
2009,wijken,KL,IJselbuurt,28800
2009,wijken,KM,Rijnbuurt,28300
